F(1):   19.4    (4749 simulations)      (19)
F(2):   34.83   (4542 simulations)      (36)
F(3):   50.39   (4529 simulations)      (51)
F(4):   63.99   (4447 simulations)      (64)
F(5):   74.81   (4522 simulations)      (75)
F(6):   82.31   (4645 simulations)      (84)
F(7):   90.99   (4598 simulations)      (91)
F(8):   96.18   (4585 simulations)      (96)
F(9):   98.82   (4523 simulations)      (99)
F(10):  101.86  (4464 simulations)      (100)
